ioc_id,pattern_code,pattern_name,pincode,district,state,date_detected,first_date,last_date,risk_score,risk_level,indicator_value,threshold,description,recommended_action,alert_id,alert_status,assigned_to,created_at,priority
IOC-DMS-008311,DMS,Demographic Surge,854304,Purnia,Bihar,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.543504421771501,HIGH,36.33574879227053,3.0,Demographic update velocity 36.34x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001068,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-020863,BIO,Biometric Churn,854304,Purnia,Bihar,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.543504421771501,HIGH,11.370496592015579,0.3,Biometric recapture ratio 1137.0% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001067,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-000942,MES,Mass Enrollment Spike,854304,Purnia,Bihar,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.543504421771501,HIGH,45.644444444444446,4.0,Enrollment velocity 45.64x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001066,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MPS-049328,MPS,Multi-PIN Synchronization,"206121, 206122, 206129, 206241, 206243...",Auraiya,Uttar Pradesh,2026-01-12,N/A,N/A,6.549122807017543,HIGH,0.7368421052631579,0.3,Synchronized spike across 14 PINs (74%) in district Auraiya,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-001065,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-024554,BIO,Biometric Churn,822114,Garhwa,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.549642808194191,HIGH,14.350799779371208,0.3,Biometric recapture ratio 1435.1% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001064,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-002100,MES,Mass Enrollment Spike,822114,Garhwa,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.549642808194191,HIGH,40.28888888888889,4.0,Enrollment velocity 40.29x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001063,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-009642,DMS,Demographic Surge,822114,Garhwa,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.549642808194191,HIGH,33.40338164251208,3.0,Demographic update velocity 33.40x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001062,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-046035,CPS,Coordinated PIN Spike,822114,Garhwa,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.549642808194191,HIGH,35.00051215868199,6.0,"Coordinated spike: Enrollment 40.3x, Demo 33.4x, Bio 31.3x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001061,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-023567,BIO,Biometric Churn,131001,Sonipat,Haryana,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.554505110492185,HIGH,13.052410901467505,0.3,Biometric recapture ratio 1305.2% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001060,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045915,CPS,Coordinated PIN Spike,131001,Sonipat,Haryana,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.554505110492185,HIGH,39.78783027258933,6.0,"Coordinated spike: Enrollment 31.8x, Demo 65.1x, Bio 22.5x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001059,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-001910,MES,Mass Enrollment Spike,131001,Sonipat,Haryana,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.554505110492185,HIGH,31.8,4.0,Enrollment velocity 31.80x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001058,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-009420,DMS,Demographic Surge,131001,Sonipat,Haryana,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.554505110492185,HIGH,65.08695652173913,3.0,Demographic update velocity 65.09x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001057,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MPS-049483,MPS,Multi-PIN Synchronization,"122001, 122002, 122003, 122004, 122006...",Gurgaon,Haryana,2026-01-12,N/A,N/A,6.534285714285714,HIGH,0.42857142857142855,0.3,Synchronized spike across 15 PINs (43%) in district Gurgaon,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-001078,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MPS-049568,MPS,Multi-PIN Synchronization,"495119, 495445, 495446, 495447, 495449...",Korba,Chhattisgarh,2026-01-12,N/A,N/A,6.559259259259259,HIGH,0.6666666666666666,0.3,Synchronized spike across 12 PINs (67%) in district Korba,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-001056,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-029514,BIO,Biometric Churn,456006,Ujjain,Madhya Pradesh,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.532538586254224,HIGH,11.798260869565217,0.3,Biometric recapture ratio 1179.8% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001079,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-010785,DMS,Demographic Surge,456006,Ujjain,Madhya Pradesh,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.532538586254224,HIGH,50.93961352657005,3.0,Demographic update velocity 50.94x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001081,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-041649,BIO,Biometric Churn,247776,Shamli,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.504867412915633,HIGH,10.105185185185185,0.3,Biometric recapture ratio 1010.5% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001102,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-048876,CPS,Coordinated PIN Spike,247776,Shamli,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.504867412915633,HIGH,49.65504281553567,6.0,"Coordinated spike: Enrollment 45.0x, Demo 79.3x, Bio 24.6x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001101,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-015316,DMS,Demographic Surge,247776,Shamli,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.504867412915633,HIGH,79.34057971014492,3.0,Demographic update velocity 79.34x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001100,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-020572,BIO,Biometric Churn,847108,Madhubani,Bihar,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.5062485940142105,HIGH,2.747214076246334,0.3,Biometric recapture ratio 274.7% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001099,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045065,CPS,Coordinated PIN Spike,847108,Madhubani,Bihar,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.5062485940142105,HIGH,36.206996982856346,6.0,"Coordinated spike: Enrollment 75.8x, Demo 21.6x, Bio 11.3x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001098,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-008126,DMS,Demographic Surge,847108,Madhubani,Bihar,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.5062485940142105,HIGH,21.570048309178745,3.0,Demographic update velocity 21.57x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001097,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-000764,MES,Mass Enrollment Spike,847108,Madhubani,Bihar,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.5062485940142105,HIGH,75.77777777777777,4.0,Enrollment velocity 75.78x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001096,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MPS-049516,MPS,Multi-PIN Synchronization,"804405, 804406, 804407, 804408, 804417...",Jehanabad,Bihar,2026-01-12,N/A,N/A,6.510666666666667,HIGH,0.52,0.3,Synchronized spike across 13 PINs (52%) in district Jehanabad,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-001095,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-021776,BIO,Biometric Churn,110044,South Delhi,Delhi,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.524424832934612,HIGH,25.564732142857142,0.3,Biometric recapture ratio 2556.5% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001094,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045608,CPS,Coordinated PIN Spike,110044,South Delhi,Delhi,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.524424832934612,HIGH,68.5126464244813,6.0,"Coordinated spike: Enrollment 39.8x, Demo 110.6x, Bio 55.1x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001093,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-001415,MES,Mass Enrollment Spike,110044,South Delhi,Delhi,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.524424832934612,HIGH,39.82222222222222,4.0,Enrollment velocity 39.82x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001092,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-008897,DMS,Demographic Surge,110044,South Delhi,Delhi,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.524424832934612,HIGH,110.58695652173913,3.0,Demographic update velocity 110.59x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001091,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-035471,BIO,Biometric Churn,332001,Sikar,Rajasthan,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.525040467008611,HIGH,9.004679144385026,0.3,Biometric recapture ratio 900.5% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001090,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-012931,DMS,Demographic Surge,332001,Sikar,Rajasthan,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.525040467008611,HIGH,41.10144927536232,3.0,Demographic update velocity 41.10x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001089,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-047767,CPS,Coordinated PIN Spike,332001,Sikar,Rajasthan,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.525040467008611,HIGH,30.185494456943207,6.0,"Coordinated spike: Enrollment 33.2x, Demo 41.1x, Bio 16.2x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001088,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-004556,MES,Mass Enrollment Spike,332001,Sikar,Rajasthan,2026-01-12,2025-03-09 00:00:00,2025-12-31 00:00:00,6.525040467008611,HIGH,33.24444444444445,4.0,Enrollment velocity 33.24x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001087,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-001041,MES,Mass Enrollment Spike,841403,Saran,Bihar,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.531157261186117,HIGH,51.28888888888889,4.0,Enrollment velocity 51.29x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001086,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045265,CPS,Coordinated PIN Spike,841403,Saran,Bihar,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.531157261186117,HIGH,27.8734636692885,6.0,"Coordinated spike: Enrollment 51.3x, Demo 24.2x, Bio 8.2x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001085,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-021027,BIO,Biometric Churn,841403,Saran,Bihar,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.531157261186117,HIGH,2.9423743500866553,0.3,Biometric recapture ratio 294.2% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001084,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-008423,DMS,Demographic Surge,841403,Saran,Bihar,2026-01-12,2025-06-01 00:00:00,2025-12-31 00:00:00,6.531157261186117,HIGH,24.159420289855074,3.0,Demographic update velocity 24.16x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001083,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-046724,CPS,Coordinated PIN Spike,456006,Ujjain,Madhya Pradesh,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.532538586254224,HIGH,37.921307196381754,6.0,"Coordinated spike: Enrollment 38.3x, Demo 50.9x, Bio 24.5x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001082,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-003185,MES,Mass Enrollment Spike,456006,Ujjain,Madhya Pradesh,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.532538586254224,HIGH,38.333333333333336,4.0,Enrollment velocity 38.33x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001080,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-006241,MES,Mass Enrollment Spike,247776,Shamli,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.504867412915633,HIGH,45.0,4.0,Enrollment velocity 45.00x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001103,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-009792,DMS,Demographic Surge,816108,Sahebganj,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.559756099139714,HIGH,31.514492753623188,3.0,Demographic update velocity 31.51x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001055,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-002233,MES,Mass Enrollment Spike,816108,Sahebganj,Jharkhand,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.559756099139714,HIGH,45.28888888888889,4.0,Enrollment velocity 45.29x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001053,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-015336,DMS,Demographic Surge,272192,Siddharthnagar,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.585679631857375,HIGH,35.3792270531401,3.0,Demographic update velocity 35.38x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001027,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-004233,MES,Mass Enrollment Spike,331403,Churu,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.589899428457471,HIGH,69.62222222222222,4.0,Enrollment velocity 69.62x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001026,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-047583,CPS,Coordinated PIN Spike,331403,Churu,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.589899428457471,HIGH,37.01732445049036,6.0,"Coordinated spike: Enrollment 69.6x, Demo 24.4x, Bio 17.1x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001025,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-012595,DMS,Demographic Surge,331403,Churu,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.589899428457471,HIGH,24.3743961352657,3.0,Demographic update velocity 24.37x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001024,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-034835,BIO,Biometric Churn,331403,Churu,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.589899428457471,HIGH,4.523779125438876,0.3,Biometric recapture ratio 452.4% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001023,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-012953,DMS,Demographic Surge,307026,Sirohi,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.611422241395797,HIGH,24.591787439613526,3.0,Demographic update velocity 24.59x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001022,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-004577,MES,Mass Enrollment Spike,307026,Sirohi,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.611422241395797,HIGH,90.57777777777778,4.0,Enrollment velocity 90.58x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001021,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-035531,BIO,Biometric Churn,307026,Sirohi,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.611422241395797,HIGH,4.881010794896958,0.3,Biometric recapture ratio 488.1% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001020,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-047777,CPS,Coordinated PIN Spike,307026,Sirohi,Rajasthan,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.611422241395797,HIGH,46.3702000383683,6.0,"Coordinated spike: Enrollment 90.6x, Demo 24.6x, Bio 23.9x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001019,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-000985,MES,Mass Enrollment Spike,848114,Samastipur,Bihar,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.611636908759093,HIGH,38.6,4.0,Enrollment velocity 38.60x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001018,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-008366,DMS,Demographic Surge,848114,Samastipur,Bihar,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.611636908759093,HIGH,41.48792270531401,3.0,Demographic update velocity 41.49x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001017,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045227,CPS,Coordinated PIN Spike,848114,Samastipur,Bihar,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.611636908759093,HIGH,32.6831382944709,6.0,"Coordinated spike: Enrollment 38.6x, Demo 41.5x, Bio 18.0x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001016,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-020936,BIO,Biometric Churn,848114,Samastipur,Bihar,2026-01-12,2025-09-01 00:00:00,2025-12-31 00:00:00,6.611636908759093,HIGH,8.592976396085204,0.3,Biometric recapture ratio 859.3% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001015,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MPS-049383,MPS,Multi-PIN Synchronization,"783371, 783372, 783380, 783381, 783382...",Bongaigaon,Assam,2026-01-12,N/A,N/A,6.614583333333334,HIGH,0.6875,0.3,Synchronized spike across 11 PINs (69%) in district Bongaigaon,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-001014,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-005289,MES,Mass Enrollment Spike,250611,Baghpat,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.618654932547338,HIGH,38.888888888888886,4.0,Enrollment velocity 38.89x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001013,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-040022,BIO,Biometric Churn,250611,Baghpat,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.618654932547338,HIGH,7.121714285714286,0.3,Biometric recapture ratio 712.2% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001012,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-014187,DMS,Demographic Surge,250611,Baghpat,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.618654932547338,HIGH,33.76328502415459,3.0,Demographic update velocity 33.76x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001011,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-048165,CPS,Coordinated PIN Spike,250611,Baghpat,Uttar Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.618654932547338,HIGH,29.216589058058215,6.0,"Coordinated spike: Enrollment 38.9x, Demo 33.8x, Bio 15.0x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001010,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-047035,CPS,Coordinated PIN Spike,425412,Nandurbar,Maharashtra,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.6214107912515185,HIGH,39.08573048012696,6.0,"Coordinated spike: Enrollment 45.2x, Demo 38.3x, Bio 33.7x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001009,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-030684,BIO,Biometric Churn,425412,Nandurbar,Maharashtra,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.6214107912515185,HIGH,13.794884407279882,0.3,Biometric recapture ratio 1379.5% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001008,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-011356,DMS,Demographic Surge,425412,Nandurbar,Maharashtra,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.6214107912515185,HIGH,38.330917874396135,3.0,Demographic update velocity 38.33x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001007,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
